"","uniqid","at_sexviol","f_gender","age","politics_n","f_urban","f_occup","region","complete"
"68",16177137,0,"Woman",64,1,"Large town","Retired, unable to work","Western",TRUE
"69",16177024,0,"Woman",48,5,"Small/middle town","Middle management, etc.","Western",TRUE
"70",16184569,2,"Man",22,5,"Rural area or village","Student","Western",TRUE
"71",16187429,1,"Man",20,6,"Rural area or village","Skilled manual worker","Western",TRUE
"72",16177953,1,"Woman",71,2,"Rural area or village","Retired, unable to work","Western",TRUE
"73",16192644,0,"Woman",23,4,"Rural area or village","Student","Western",TRUE
"74",16180339,0,"Woman",33,5,"Rural area or village","Professional (lawyer, etc.)","Western",TRUE
"75",16190336,1,"Woman",44,5,"Rural area or village","Retired, unable to work","Western",TRUE
"76",16178368,0,"Man",63,3,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"77",16184646,4,"Woman",92,5,"Small/middle town","Retired, unable to work","Western",TRUE
"78",16186119,0,"Woman",53,3,"Rural area or village","Employed position, travelling","Western",TRUE
"79",16187726,0,"Man",72,4,"Rural area or village","Retired, unable to work","Western",TRUE
"80",16188387,0,"Man",54,8,"Rural area or village","Farmer","Western",TRUE
"81",16184577,4,"Woman",83,1,"Rural area or village","Retired, unable to work","Western",TRUE
"82",16187228,0,"Woman",75,5,"Rural area or village","Retired, unable to work","Western",TRUE
"83",16187434,2,"Man",78,5,"Rural area or village","Retired, unable to work","Western",TRUE
"84",16180344,0,"Woman",29,7,"Rural area or village","Employed position, travelling","Western",TRUE
"85",16179640,3,"Woman",61,6,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"86",16188226,0,"Woman",74,5,"Rural area or village","Retired, unable to work","Western",TRUE
"87",16191670,0,"Woman",81,7,"Rural area or village","Retired, unable to work","Western",TRUE
"88",16191876,0,"Woman",33,5,"Rural area or village","Skilled manual worker","Western",TRUE
"89",16184665,4,"Woman",70,10,"Small/middle town","Retired, unable to work","Western",TRUE
"90",16180166,0,"Man",90,5,"Rural area or village","Retired, unable to work","Western",TRUE
"91",16187433,3,"Man",75,5,"Rural area or village","Retired, unable to work","Western",TRUE
"92",16187743,0,"Man",53,6,"Rural area or village","Skilled manual worker","Western",TRUE
"93",16184664,1,"Woman",16,5,"Rural area or village","Student","Western",TRUE
"94",16193530,6,"Man",26,5,"Small/middle town","Student","Western",TRUE
"95",16179643,2,"Man",43,4,"Small/middle town","Skilled manual worker","Western",TRUE
"96",16190064,0,"Woman",51,7,"Rural area or village","Employed position, service job","Western",TRUE
"97",16187739,0,"Man",38,5,"Rural area or village","Employed position, at desk","Western",TRUE
"98",16194530,5,"Man",71,10,"Small/middle town","Retired, unable to work","Western",TRUE
"99",16193849,1,"Man",31,6,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"100",16179648,3,"Man",82,5,"Small/middle town","Retired, unable to work","Western",TRUE
"101",16187736,2,"Woman",77,6,"Rural area or village","Retired, unable to work","Western",TRUE
"102",16194978,0,"Woman",78,5,"Small/middle town","Retired, unable to work","Western",TRUE
"103",16187425,1,"Woman",50,6,"Rural area or village","Skilled manual worker","Western",TRUE
"104",16180161,0,"Woman",67,7,"Rural area or village","Retired, unable to work","Western",TRUE
"105",16177126,0,"Woman",40,7,"Small/middle town","Employed position, at desk","Western",TRUE
"106",16194127,5,"Man",72,7,"Rural area or village","Retired, unable to work","Western",TRUE
"107",16187716,0,"Man",76,6,"Small/middle town","Retired, unable to work","Western",TRUE
"108",16187426,0,"Man",40,6,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"109",16185707,9,"Man",68,4,"Rural area or village","Retired, unable to work","Western",TRUE
"110",16190129,2,"Woman",69,7,"Rural area or village","Retired, unable to work","Western",TRUE
"111",16177136,5,"Man",55,3,"Large town","Employed position, service job","Western",TRUE
"112",16179479,3,"Woman",61,5,"Small/middle town","Employed position, at desk","Western",TRUE
"113",16187722,0,"Woman",37,6,"Rural area or village","Skilled manual worker","Western",TRUE
"114",16178554,0,"Woman",53,1,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"115",16187398,0,"Woman",28,6,"Rural area or village","Skilled manual worker","Western",TRUE
"116",16185721,2,"Woman",57,6,"Rural area or village","Employed position, service job","Western",TRUE
"117",16190571,0,"Man",34,5,"Small/middle town","Skilled manual worker","Western",TRUE
"118",16184801,0,"Woman",44,10,"Large town","Unskilled manual worker, etc.","Western",TRUE
"119",16179484,0,"Woman",47,7,"Small/middle town","Employed position, at desk","Western",TRUE
"120",16188242,0,"Man",69,7,"Rural area or village","Retired, unable to work","Western",TRUE
"121",16178538,0,"Woman",61,1,"Small/middle town","Retired, unable to work","Western",TRUE
"122",16187708,0,"Man",31,5,"Rural area or village","Middle management, etc.","Western",TRUE
"123",16194973,0,"Man",40,1,"Small/middle town","Employed position, at desk","Western",TRUE
"124",16179487,0,"Man",50,6,"Small/middle town","Skilled manual worker","Western",TRUE
"125",16177127,2,"Woman",73,5,"Small/middle town","Retired, unable to work","Western",TRUE
"126",16179186,0,"Woman",64,5,"Rural area or village","Retired, unable to work","Western",TRUE
"127",16178561,0,"Woman",22,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"128",16179498,0,"Man",47,6,"Small/middle town","Employed position, service job","Western",TRUE
"129",16190113,9,"Woman",62,6,"Large town","Retired, unable to work","Western",TRUE
"130",16177087,1,"Woman",32,2,"Large town","Employed position, at desk","Western",TRUE
"131",16188229,0,"Man",24,5,"Rural area or village","Skilled manual worker","Western",TRUE
"132",16191061,0,"Woman",73,5,"Small/middle town","Retired, unable to work","Western",TRUE
"133",16186104,0,"Woman",52,5,"Rural area or village","Retired, unable to work","Western",TRUE
"134",16178525,0,"Man",38,6,"Small/middle town","Employed position, at desk","Western",TRUE
"135",16179180,0,"Woman",62,5,"Rural area or village","Retired, unable to work","Western",TRUE
"136",16194344,0,"Woman",29,1,"Rural area or village","Middle management, etc.","Western",TRUE
"137",16179505,3,"Man",45,6,"Small/middle town","Supervisor","Western",TRUE
"138",16188403,0,"Man",19,5,"Rural area or village","Student","Western",TRUE
"139",16187897,0,"Woman",43,4,"Rural area or village","Employed position, at desk","Western",TRUE
"140",16187397,1,"Woman",76,6,"Rural area or village","Retired, unable to work","Western",TRUE
"141",16186106,0,"Man",49,6,"Rural area or village","Middle management, etc.","Western",TRUE
"142",16184771,0,"Man",62,5,"Large town","Unemployed, temporarily not working","Western",TRUE
"143",16179489,0,"Man",36,4,"Small/middle town","Skilled manual worker","Western",TRUE
"144",16187402,0,"Woman",65,6,"Rural area or village","Retired, unable to work","Western",TRUE
"145",16188391,0,"Man",73,8,"Rural area or village","Retired, unable to work","Western",TRUE
"146",16190174,0,"Woman",44,7,"Small/middle town","Employed position, at desk","Western",TRUE
"147",16184580,3,"Woman",53,6,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"148",16187891,2,"Woman",54,4,"Small/middle town","Employed position, travelling","Western",TRUE
"149",16178537,0,"Woman",45,6,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"150",16182592,0,"Man",22,6,"Rural area or village","Skilled manual worker","Western",TRUE
"151",16188023,1,"Man",18,1,"Small/middle town","Student","Western",TRUE
"152",16179493,2,"Man",81,4,"Small/middle town","Retired, unable to work","Western",TRUE
"153",16179228,0,"Woman",59,5,"Rural area or village","Retired, unable to work","Western",TRUE
"154",16188021,1,"Man",18,2,"Rural area or village","Student","Western",TRUE
"155",16178544,0,"Man",21,5,"Small/middle town","Employed position, service job","Western",TRUE
"156",16190624,2,"Man",74,5,"Rural area or village","Retired, unable to work","Western",TRUE
"157",16184686,3,"Woman",57,5,"Rural area or village","Employed position, at desk","Western",TRUE
"158",16179510,4,"Woman",54,5,"Small/middle town","Employed position, travelling","Western",TRUE
"159",16194804,0,"Man",36,5,"Rural area or village","Owner of a shop, craftsmen, etc.","Western",TRUE
"160",16187705,2,"Man",76,7,"Rural area or village","Retired, unable to work","Western",TRUE
"161",16179179,0,"Woman",58,5,"Rural area or village","Retired, unable to work","Western",TRUE
"162",16187704,0,"Woman",81,6,"Rural area or village","Retired, unable to work","Western",TRUE
"163",16179514,3,"Woman",52,7,"Small/middle town","Employed position, at desk","Western",TRUE
"164",16190210,3,"Woman",18,6,"Small/middle town","Student","Western",TRUE
"165",16179501,3,"Man",49,4,"Small/middle town","Supervisor","Western",TRUE
"166",16190190,0,"Woman",46,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"167",16179516,3,"Woman",23,6,"Small/middle town","Employed position, at desk","Western",TRUE
"168",16188022,2,"Woman",27,1,"Large town","Employed position, at desk","Western",TRUE
"169",16186758,1,"Woman",67,7,"Small/middle town","Retired, unable to work","Western",TRUE
"170",16179496,5,"Woman",66,4,"Small/middle town","Retired, unable to work","Western",TRUE
"171",16188004,3,"Man",30,1,"Small/middle town","Skilled manual worker","Western",TRUE
"172",16177430,3,"Woman",34,8,"Rural area or village","Professional (lawyer, etc.)","Western",TRUE
"173",16181630,0,"Man",36,5,"Rural area or village","Employed position, service job","Western",TRUE
"174",16186389,3,"Man",40,3,"Large town","Skilled manual worker","Western",TRUE
"175",16190583,0,"Woman",45,3,"Rural area or village","Middle management, etc.","Western",TRUE
"176",16186385,3,"Man",65,4,"Large town","Retired, unable to work","Western",TRUE
"177",16190067,0,"Woman",89,6,"Rural area or village","Retired, unable to work","Western",TRUE
"178",16190755,0,"Man",72,5,"Small/middle town","Retired, unable to work","Western",TRUE
"179",16179900,0,"Woman",70,5,"Small/middle town","Retired, unable to work","Western",TRUE
"180",16186382,4,"Man",73,5,"Large town","Retired, unable to work","Western",TRUE
"181",16191527,0,"Man",70,5,"Rural area or village","Retired, unable to work","Western",TRUE
"182",16186380,3,"Woman",57,4,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"183",16178491,1,"Man",31,1,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"184",16191850,0,"Man",51,10,"Rural area or village","General management, etc.","Western",TRUE
"185",16186743,2,"Man",39,5,"Small/middle town","Employed position, travelling","Western",TRUE
"186",16180241,0,"Man",68,7,"Small/middle town","Retired, unable to work","Western",TRUE
"187",16180238,2,"Man",62,8,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"188",16180244,0,"Man",69,8,"Small/middle town","Retired, unable to work","Western",TRUE
"189",16190054,7,"Woman",32,10,"Rural area or village","Retired, unable to work","Western",TRUE
"190",16186376,4,"Man",51,6,"Large town","Employed position, travelling","Western",TRUE
"191",16193109,0,"Woman",41,6,"Rural area or village","Retired, unable to work","Western",TRUE
"192",16185909,3,"Man",76,2,"Rural area or village","Retired, unable to work","Western",TRUE
"193",16180239,2,"Man",76,8,"Large town","Retired, unable to work","Western",TRUE
"194",16186084,0,"Man",64,3,"Rural area or village","Retired, unable to work","Western",TRUE
"195",16184478,4,"Woman",55,1,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"196",16185889,2,"Woman",72,5,"Rural area or village","Retired, unable to work","Western",TRUE
"197",16186392,1,"Man",69,4,"Large town","Retired, unable to work","Western",TRUE
"198",16187212,0,"Woman",57,5,"Rural area or village","Retired, unable to work","Western",TRUE
"199",16187955,0,"Man",49,7,"Rural area or village","Employed position, travelling","Western",TRUE
"200",16184992,3,"Woman",63,1,"Small/middle town","Retired, unable to work","Western",TRUE
"201",16191407,0,"Woman",62,5,"Small/middle town","Retired, unable to work","Western",TRUE
"202",16190352,0,"Woman",46,5,"Rural area or village","Business proprietors, etc.","Western",TRUE
"203",16177031,1,"Woman",24,4,"Large town","Student","Western",TRUE
"204",16181224,0,"Woman",52,7,"Large town","Employed position, service job","Western",TRUE
"205",16177123,3,"Woman",68,6,"Small/middle town","Retired, unable to work","Western",TRUE
"206",16181638,0,"Woman",80,8,"Rural area or village","Retired, unable to work","Western",TRUE
"207",16192929,0,"Woman",44,4,"Small/middle town","Employed position, service job","Western",TRUE
"208",16180247,0,"Woman",39,5,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"209",16177096,1,"Man",43,4,"Large town","Employed position, at desk","Western",TRUE
"210",16193267,1,"Man",72,1,"Small/middle town","Retired, unable to work","Western",TRUE
"211",16185738,0,"Woman",67,5,"Rural area or village","Retired, unable to work","Western",TRUE
"212",16186985,0,"Woman",68,10,"Rural area or village","Retired, unable to work","Western",TRUE
"213",16190201,0,"Man",21,4,"Rural area or village","Skilled manual worker","Western",TRUE
"214",16179231,0,"Woman",67,5,"Rural area or village","Retired, unable to work","Western",TRUE
"215",16187954,0,"Man",48,6,"Rural area or village","Skilled manual worker","Western",TRUE
"216",16184177,4,"Man",80,7,"Rural area or village","Retired, unable to work","Western",TRUE
"217",16186372,3,"Man",46,6,"Large town","Skilled manual worker","Western",TRUE
"218",16190033,0,"Woman",48,5,"Large town","Retired, unable to work","Western",TRUE
"219",16181228,0,"Man",25,6,"Large town","Employed position, service job","Western",TRUE
"220",16184480,5,"Woman",94,6,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"221",16190733,0,"Man",59,4,"Rural area or village","Retired, unable to work","Western",TRUE
"222",16193419,2,"Man",65,5,"Small/middle town","Retired, unable to work","Western",TRUE
"223",16184477,5,"Man",37,6,"Small/middle town","Middle management, etc.","Western",TRUE
"224",16181230,0,"Woman",42,4,"Large town","Employed position, service job","Western",TRUE
"225",16179197,0,"Woman",80,8,"Rural area or village","Retired, unable to work","Western",TRUE
"226",16182531,0,"Woman",42,3,"Rural area or village","General management, etc.","Western",TRUE
"227",16193884,0,"Woman",63,5,"Large town","Employed position, at desk","Western",TRUE
"228",16180487,4,"Woman",51,10,"Small/middle town","Employed position, service job","Western",TRUE
"229",16187972,0,"Woman",78,6,"Rural area or village","Retired, unable to work","Western",TRUE
"230",16177028,2,"Man",62,7,"Large town","Skilled manual worker","Western",TRUE
"231",16186369,3,"Woman",49,3,"Large town","Unemployed, temporarily not working","Western",TRUE
"232",16179185,0,"Man",66,6,"Rural area or village","Retired, unable to work","Western",TRUE
"233",16180485,4,"Woman",66,5,"Small/middle town","Retired, unable to work","Western",TRUE
"234",16185891,3,"Man",57,3,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"235",16187971,0,"Man",64,4,"Rural area or village","Retired, unable to work","Western",TRUE
"236",16190169,0,"Man",47,7,"Rural area or village","Middle management, etc.","Western",TRUE
"237",16180002,0,"Woman",69,5,"Small/middle town","Retired, unable to work","Western",TRUE
"238",16181232,0,"Man",25,5,"Large town","Employed position, service job","Western",TRUE
"239",16192320,0,"Man",41,6,"Small/middle town","General management, etc.","Western",TRUE
"240",16182595,0,"Man",56,5,"Rural area or village","Retired, unable to work","Western",TRUE
"241",16185727,0,"Man",39,5,"Rural area or village","Employed position, at desk","Western",TRUE
"242",16183933,0,"Woman",86,8,"Small/middle town","Retired, unable to work","Western",TRUE
"243",16181640,0,"Woman",82,5,"Rural area or village","Retired, unable to work","Western",TRUE
"244",16178700,0,"Woman",56,3,"Small/middle town","Employed position, service job","Western",TRUE
"245",16186365,0,"Man",26,5,"Large town","Employed position, at desk","Western",TRUE
"246",16184958,3,"Man",62,4,"Small/middle town","Retired, unable to work","Western",TRUE
"247",16177709,2,"Woman",91,3,"Small/middle town","Retired, unable to work","Western",TRUE
"248",16194314,4,"Man",78,2,"Rural area or village","Retired, unable to work","Western",TRUE
"249",16180007,0,"Woman",70,4,"Small/middle town","Retired, unable to work","Western",TRUE
"250",16181379,1,"Man",39,4,"Large town","Employed position, service job","Western",TRUE
"251",16187960,0,"Woman",34,6,"Rural area or village","Employed position, at desk","Western",TRUE
"252",16185894,0,"Woman",20,3,"Rural area or village","Student","Western",TRUE
"253",16190137,0,"Woman",75,5,"Small/middle town","Retired, unable to work","Western",TRUE
"254",16177129,0,"Woman",54,3,"Large town","Employed position, travelling","Western",TRUE
"255",16190902,0,"Man",34,3,"Small/middle town","Middle management, etc.","Western",TRUE
"256",16183929,0,"Woman",37,7,"Small/middle town","Skilled manual worker","Western",TRUE
"257",16184179,4,"Man",49,4,"Rural area or village","Supervisor","Western",TRUE
"258",16192717,0,"Man",38,8,"Rural area or village","Supervisor","Western",TRUE
"259",16184616,4,"Man",54,5,"Rural area or village","Employed position, travelling","Western",TRUE
"260",16186402,0,"Man",50,5,"Large town","Unemployed, temporarily not working","Western",TRUE
"261",16181498,0,"Woman",60,5,"Rural area or village","Employed position, service job","Western",TRUE
"262",16193071,0,"Woman",54,5,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"263",16194153,5,"Woman",61,7,"Rural area or village","Retired, unable to work","Western",TRUE
"264",16181623,0,"Man",55,8,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"265",16185903,1,"Woman",32,5,"Rural area or village","Employed position, travelling","Western",TRUE
"266",16192144,1,"Man",77,2,"Rural area or village","Retired, unable to work","Western",TRUE
"267",16184630,3,"Man",42,6,"Rural area or village","Skilled manual worker","Western",TRUE
"268",16187731,0,"Man",85,6,"Rural area or village","Retired, unable to work","Western",TRUE
"269",16193095,0,"Man",66,7,"Rural area or village","Retired, unable to work","Western",TRUE
"270",16182139,1,"Man",19,4,"Large town","Student","Western",TRUE
"271",16181499,0,"Woman",45,5,"Rural area or village","Employed position, at desk","Western",TRUE
"272",16181622,0,"Woman",58,3,"Rural area or village","Employed position, service job","Western",TRUE
"273",16177732,1,"Man",53,5,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"274",16192171,0,"Woman",69,5,"Small/middle town","Retired, unable to work","Western",TRUE
"275",16180171,3,"Man",73,5,"Rural area or village","Retired, unable to work","Western",TRUE
"276",16190171,2,"Woman",81,1,"Small/middle town","Retired, unable to work","Western",TRUE
"277",16178394,0,"Man",67,6,"Rural area or village","Retired, unable to work","Western",TRUE
"278",16186349,0,"Man",56,3,"Rural area or village","General management, etc.","Western",TRUE
"279",16181238,0,"Woman",58,3,"Large town","Middle management, etc.","Western",TRUE
"280",16190261,2,"Man",62,8,"Large town","Retired, unable to work","Western",TRUE
"281",16186404,2,"Woman",72,4,"Large town","Retired, unable to work","Western",TRUE
"282",16191021,0,"Woman",22,4,"Small/middle town","Student","Western",TRUE
"283",16179893,3,"Man",60,7,"Rural area or village","Retired, unable to work","Western",TRUE
"284",16177726,0,"Man",31,1,"Rural area or village","Skilled manual worker","Western",TRUE
"285",16177323,0,"Woman",39,5,"Small/middle town","Employed position, service job","Western",TRUE
"286",16193316,0,"Man",63,5,"Rural area or village","Retired, unable to work","Western",TRUE
"287",16194118,3,"Man",69,5,"Rural area or village","Retired, unable to work","Western",TRUE
"288",16183834,0,"Man",39,6,"Rural area or village","Middle management, etc.","Western",TRUE
"289",16179917,0,"Woman",57,4,"Small/middle town","Employed position, travelling","Western",TRUE
"290",16186356,0,"Woman",36,5,"Rural area or village","Skilled manual worker","Western",TRUE
"291",16179892,0,"Woman",40,6,"Rural area or village","Middle management, etc.","Western",TRUE
"292",16178502,1,"Woman",29,1,"Small/middle town","Employed position, at desk","Western",TRUE
"293",16177437,0,"Woman",30,6,"Small/middle town","Employed position, at desk","Western",TRUE
"294",16178503,1,"Woman",31,2,"Small/middle town","Employed position, at desk","Western",TRUE
"295",16178110,0,"Man",45,6,"Rural area or village","Skilled manual worker","Western",TRUE
"296",16186750,0,"Woman",30,7,"Rural area or village","Employed position, at desk","Western",TRUE
"297",16184588,0,"Woman",35,5,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"298",16184168,3,"Woman",25,4,"Rural area or village","Employed position, travelling","Western",TRUE
"299",16184585,0,"Woman",68,5,"Rural area or village","Retired, unable to work","Western",TRUE
"300",16178709,0,"Woman",62,5,"Small/middle town","Retired, unable to work","Western",TRUE
"301",16182145,2,"Woman",37,4,"Large town","Unemployed, temporarily not working","Western",TRUE
"302",16190678,1,"Man",39,7,"Rural area or village","Middle management, etc.","Western",TRUE
"303",16177132,2,"Woman",72,6,"Large town","Retired, unable to work","Western",TRUE
"304",16184170,2,"Man",71,8,"Rural area or village","Retired, unable to work","Western",TRUE
"305",16184596,0,"Woman",58,3,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"306",16193784,1,"Man",67,1,"Large town","Retired, unable to work","Western",TRUE
"307",16177098,0,"Woman",19,5,"Rural area or village","Student","Western",TRUE
"308",16186140,5,"Woman",67,7,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"309",16191925,0,"Man",28,8,"Large town","Skilled manual worker","Western",TRUE
"310",16182007,0,"Woman",62,6,"Small/middle town","Professional (lawyer, etc.)","Western",TRUE
"311",16177040,0,"Woman",28,1,"Large town","Student","Western",TRUE
"312",16192381,0,"Man",37,1,"Rural area or village","Middle management, etc.","Western",TRUE
"313",16182011,0,"Man",86,5,"Small/middle town","Retired, unable to work","Western",TRUE
"314",16185706,9,"Woman",70,3,"Small/middle town","Retired, unable to work","Western",TRUE
"315",16177101,0,"Woman",30,1,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"316",16192378,3,"Woman",71,5,"Small/middle town","Retired, unable to work","Western",TRUE
"317",16177033,0,"Man",36,7,"Rural area or village","Employed position, at desk","Western",TRUE
"318",16177139,0,"Woman",61,3,"Rural area or village","Employed position, at desk","Western",TRUE
"319",16184955,0,"Man",66,5,"Small/middle town","Retired, unable to work","Western",TRUE
"320",16186412,2,"Man",36,4,"Large town","Employed position, service job","Western",TRUE
"321",16182164,0,"Man",62,8,"Large town","Farmer","Western",TRUE
"322",16178515,0,"Man",67,5,"Small/middle town","Retired, unable to work","Western",TRUE
"323",16191780,0,"Man",17,6,"Small/middle town","Student","Western",TRUE
"324",16182015,5,"Man",52,4,"Small/middle town","Retired, unable to work","Western",TRUE
"325",16184618,3,"Woman",36,5,"Rural area or village","Employed position, travelling","Western",TRUE
"326",16182306,0,"Man",71,4,"Rural area or village","Retired, unable to work","Western",TRUE
"327",16193073,0,"Woman",49,4,"Small/middle town","Retired, unable to work","Western",TRUE
"328",16184697,3,"Woman",22,6,"Rural area or village","Middle management, etc.","Western",TRUE
"329",16184950,0,"Woman",58,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
